application_id,applicant_name,email,phone_number,university,degree,cgpa,submission_time,ip_address,resume_quality_score,application_source,previous_applications
29,Carl Walker,chris30@example.com,001-962-769-3049x5261,FAST,BSE,3.24,2025-05-15 00:43:22,166.168.18.173,87,Mobile,1
30,Melissa Daniels,tpeterson@example.com,(557)251-6777x36634,IU,BSIT,2.95,2025-05-18 22:22:22,205.202.42.203,86,Mobile,3
31,Carlos Stanley,gregorykristina@example.org,(636)720-6489x9833,IU,BSCS,2.66,2025-05-13 04:55:19,132.36.122.217,97,Mobile,0
32,Samantha Hernandez,duranshannon@example.com,777.491.2067x507,NED,BSE,3.26,2025-05-27 12:15:39,153.251.65.41,78,Desktop,3
33,John Collier,john11@example.org,(428)838-9040x67547,SMIU,BBA,2.08,2025-05-07 18:45:35,186.105.101.144,63,Mobile,5
34,Timothy Norris,ubrown@example.org,781.526.0768x758,FAST,BSCS,3.3,2025-05-24 16:15:46,217.40.89.4,41,Mobile,4
35,Hannah Jefferson,laura54@example.net,239.350.8931x4282,FAST,BSCS,3.63,2025-05-21 00:16:58,214.204.30.136,91,Mobile,1
36,Derek Gutierrez,monique05@example.com,317.886.4500,Stanford,BBA,2.24,2025-05-19 08:18:04,113.197.120.87,52,Desktop,5
37,Emily Smith,stevenbrown@example.net,001-991-714-2280x834,FAST,BSAI,2.59,2025-05-23 03:56:49,6.210.4.8,45,Mobile,2
38,Karen Carter,escobarrobert@example.net,356.261.0244,MIT,BSIT,3.4,2025-05-10 12:01:17,209.173.249.96,86,Mobile,1
39,Melanie Lee,hallchad@example.net,471-252-0934x387,NED,BSE,2.26,2025-04-30 21:05:13,197.77.144.215,64,Desktop,0
40,John Parker,daniel28@example.net,218.697.0787x648,FAST,BBA,3.84,2025-05-24 11:48:25,25.83.170.31,62,Mobile,2
41,Nicole Smith,sforbes@example.net,583.575.9632x81699,SMIU,BSE,3.65,2025-04-28 12:53:09,110.70.22.176,60,Mobile,0
42,Robert Kane,daltonerin@example.org,563-938-5382x81673,SMIU,BSE,2.65,2025-05-02 09:11:44,207.140.119.126,47,Mobile,4
43,Cynthia Lee,robert47@example.org,488.708.4115,Stanford,BSIT,3.27,2025-05-17 05:11:21,147.212.127.68,41,Desktop,5
44,Taylor Thompson,zwagner@example.org,+1-565-964-2052x16063,Stanford,BSIT,2.15,2025-04-27 21:51:27,148.149.74.210,83,Desktop,3
45,Brett Jackson,williamevans@example.com,217-550-2259,SMIU,BSE,2.39,2025-05-27 13:26:16,221.77.172.75,64,Mobile,1
46,Laura Glenn,mwilliams@example.net,870-480-6061,MIT,BSAI,2.68,2025-05-21 19:35:09,86.143.161.174,91,Desktop,0
47,Jason Hall,uferguson@example.com,001-931-757-9395,NED,BSIT,3.51,2025-05-14 00:39:24,166.29.6.96,58,Desktop,2
48,Sandra Miller,uhiggins@example.net,+1-531-823-7910x71228,MIT,BSE,3.85,2025-05-09 16:42:10,181.44.58.121,47,Desktop,2
49,Jeffrey Parker,williamfaulkner@example.com,363-901-9530x66570,MIT,BSAI,3.77,2025-05-13 15:24:59,136.21.158.198,97,Mobile,3
50,Dr. Jason Powell MD,jacobsbrenda@example.net,988-374-4179,FAST,BSIT,2.4,2025-04-30 21:54:29,221.255.113.215,47,Mobile,2
51,Douglas Mills,hensonhaley@example.com,205.347.6665,IU,BSIT,3.69,2025-05-07 03:08:07,97.160.186.169,48,Desktop,0
52,Elizabeth Henry,ncervantes@example.net,+1-576-806-4226x3587,Stanford,BSIT,3.24,2025-05-25 09:43:26,209.8.220.9,79,Mobile,5
53,Beth Johnson,edward34@example.org,200.564.7461x543,NED,BSAI,2.73,2025-05-08 14:49:47,106.235.122.65,54,Mobile,5
54,Jennifer Smith,amanda65@example.net,209-967-8049,SMIU,BSCS,3.21,2025-05-09 10:32:01,120.155.212.139,66,Desktop,2
55,Brian Hughes,tchavez@example.net,9044482110,IU,BBA,3.22,2025-05-04 18:32:38,148.106.132.84,43,Mobile,4
56,Richard Smith,david68@example.net,001-264-694-4883,NED,BBA,3.11,2025-05-24 05:09:18,213.198.68.214,52,Mobile,5
57,Justin Jones,fphelps@example.net,768-500-3820,Harvard,BSIT,2.73,2025-05-19 14:26:54,39.242.173.48,60,Mobile,2
58,Leslie Bryan,egreen@example.org,+1-663-571-1029,SMIU,BSAI,3.1,2025-05-02 06:48:01,206.2.65.186,63,Desktop,5
59,David Harrington,nharmon@example.org,(945)853-4531x38543,IU,BSE,3.9,2025-05-01 18:15:08,205.235.66.239,46,Desktop,1
60,Stephen Marshall,michael00@example.org,3767508508,IU,BSIT,2.14,2025-05-13 09:25:00,32.171.16.143,40,Mobile,2
61,Peter Avila,ythompson@example.org,437.265.8874x97140,IU,BSCS,2.17,2025-05-22 12:19:11,134.164.213.56,61,Desktop,0
62,Rebecca Coleman,nelsondebra@example.net,247-503-1526x9113,NED,BSCS,3.35,2025-05-21 14:35:11,130.104.10.36,61,Mobile,5
63,Gary Ayala,blake33@example.com,(474)979-9434,Harvard,BSIT,2.09,2025-05-03 03:35:15,151.113.36.213,97,Desktop,1
64,Mathew Smith,james32@example.com,983.993.1874x3256,Stanford,BSAI,2.92,2025-05-12 11:44:13,214.128.96.114,64,Mobile,2
65,Christina Carson,gzhang@example.org,+1-234-928-6986x70725,Stanford,BSIT,2.5,2025-05-24 14:47:56,66.193.167.22,100,Mobile,2
66,Philip Valdez,edwardmartinez@example.org,+1-560-896-0490x491,Harvard,BSCS,2.57,2025-05-11 23:40:16,219.208.164.62,58,Mobile,2
67,Kelly Boone PhD,kellydaniel@example.net,(668)802-9293x21872,IU,BSCS,3.15,2025-05-03 21:56:28,197.229.193.25,49,Mobile,4
68,Susan Gregory,terricannon@example.org,5498150554,MIT,BSIT,2.75,2025-05-24 10:20:27,199.204.104.171,92,Mobile,0
69,Jamie Garcia,daniel31@example.net,563-430-5006,IU,BBA,2.35,2025-05-14 00:12:30,203.197.89.223,71,Mobile,1
70,Austin Flores,sarahgarrett@example.com,(662)345-3139x018,SMIU,BSE,2.67,2025-05-24 02:00:07,161.224.125.36,73,Desktop,2
71,Christopher Anderson,jacksoncynthia@example.org,826-377-3739x392,FAST,BSAI,3.63,2025-05-07 17:16:24,200.141.196.215,58,Desktop,5
72,Mark Lucas,alvaradoalicia@example.org,+1-361-820-9063x107,NED,BSE,3.14,2025-05-27 03:17:17,106.190.230.46,76,Mobile,5
73,Ann Morse,brandi36@example.com,+1-283-558-0649,IU,BBA,2.53,2025-05-24 10:05:43,198.34.16.238,67,Desktop,5
74,Jeffrey Atkins,qwilcox@example.org,291-666-5435,NED,BBA,3.83,2025-05-26 09:08:58,5.72.109.88,97,Mobile,5
75,Sarah Buchanan,dorothyclayton@example.org,+1-867-525-7305x198,IU,BSE,2.81,2025-05-11 19:40:16,34.3.76.71,90,Mobile,5
76,Kaitlyn Morse,leerichard@example.org,246.634.4646,Stanford,BBA,3.38,2025-05-19 10:58:33,220.180.188.237,80,Desktop,4
77,Mary Schneider,stephaniepeterson@example.com,988.526.2044,MIT,BSCS,3.23,2025-05-02 07:17:06,146.214.169.50,40,Mobile,4
78,Amber Knapp,grayjudy@example.com,(797)616-6068x912,Harvard,BSIT,2.26,2025-05-26 19:15:02,44.180.121.100,86,Desktop,4
79,Christopher Dominguez,gonzalessean@example.com,001-895-518-9871x39682,NED,BSCS,3.47,2025-05-16 12:58:06,117.212.167.245,74,Mobile,0
80,Deborah Miles,harrisjared@example.net,504-251-4724x91481,IU,BSE,3.05,2025-05-13 05:54:44,78.231.0.240,86,Desktop,5
81,Bradley Gibson,kennethunderwood@example.net,253-692-4043x5022,IU,BSIT,3.73,2025-05-25 19:12:29,161.75.225.131,61,Desktop,2
82,Donna Martin,jward@example.net,432-774-5795x4753,MIT,BSAI,2.72,2025-05-09 14:36:05,65.24.209.59,73,Mobile,0
83,Sarah Little,hlucas@example.org,7863857709,Harvard,BSAI,3.11,2025-05-11 22:47:04,203.236.247.172,100,Desktop,2
84,Beth Hernandez,karenmurphy@example.net,001-672-342-9509x6821,MIT,BSAI,2.18,2025-05-06 18:44:55,203.30.236.4,60,Desktop,2
85,Jasmine Lee,keith15@example.com,(702)586-4299x610,Stanford,BBA,2.38,2025-05-07 01:10:58,209.28.200.240,62,Desktop,0
86,Dr. Marcus Smith,turnercharles@example.com,+1-375-248-8959x86386,Harvard,BSIT,3.93,2025-05-06 22:04:54,157.68.161.243,55,Desktop,4
87,Janice Foley,gomezbobby@example.org,422.796.9703,Harvard,BSCS,2.49,2025-04-29 10:56:30,51.248.64.101,65,Desktop,5
88,Dawn Murphy,garciamichael@example.com,001-393-759-5208x4716,NED,BSIT,2.37,2025-05-27 14:27:30,18.191.33.178,54,Desktop,4
89,Rhonda Hoffman,mckeejohn@example.net,4815543850,IU,BSIT,3.68,2025-05-10 11:30:48,202.192.77.78,57,Desktop,2
90,Noah Beck,thomas73@example.net,2968360778,NED,BSE,2.08,2025-05-20 23:43:29,211.138.227.131,44,Desktop,1
91,Amanda Wright,jordanjames@example.org,809-665-7578,FAST,BSCS,2.22,2025-05-01 05:00:58,155.229.231.194,81,Mobile,5
92,Sandra Campos,michaelalvarez@example.com,962-322-8169x8709,MIT,BSE,2.9,2025-05-02 05:10:44,219.38.68.67,91,Mobile,1
93,Andrea Jones,anncowan@example.org,001-713-899-9035,FAST,BSE,2.02,2025-05-04 04:14:54,172.246.0.218,67,Mobile,0
94,James Lane,cainjeff@example.net,+1-388-236-6585x717,FAST,BSIT,2.64,2025-05-05 02:45:53,11.103.69.53,52,Mobile,4
95,Teresa Foster,vanessa19@example.com,001-725-774-4625x57714,Harvard,BSIT,2.37,2025-04-29 17:32:48,185.205.75.14,40,Desktop,4
96,Hannah Blanchard,dustin32@example.org,543-663-4852,Stanford,BSAI,3.1,2025-05-01 18:01:19,2.127.86.21,94,Desktop,1
97,Samuel Molina,smithjose@example.net,(732)612-7124x912,NED,BBA,2.02,2025-05-24 02:22:14,222.183.176.225,58,Mobile,3
98,Rebecca Johnson,mjohnson@example.com,6653744368,FAST,BSAI,3.27,2025-05-16 20:25:08,171.205.209.99,61,Desktop,1
99,Chad Adams,ntorres@example.org,(275)725-2898,Harvard,BBA,2.7,2025-05-23 07:41:56,108.186.9.155,40,Desktop,4
100,Cody Woods,martinezcarla@example.net,410-809-3792,MIT,BSCS,2.34,2025-05-11 05:39:47,94.95.240.254,83,Mobile,0
101,Derrick Newton,jacob96@example.net,277.567.4599,FAST,BSAI,2.37,2025-05-23 04:27:20,165.206.134.206,76,Desktop,3
102,Benjamin Valdez,alexanderrodriguez@example.org,(614)459-9859x3102,Harvard,BSE,2.17,2025-05-09 06:54:19,211.95.60.119,63,Mobile,5
103,Katrina James,pdecker@example.com,201.355.8136,Stanford,BBA,3.54,2025-05-08 07:15:13,206.192.88.156,84,Desktop,5
104,Annette Mora,michaeltaylor@example.com,+1-395-680-1999,FAST,BBA,3.68,2025-05-26 11:41:39,195.142.162.216,99,Desktop,4
105,Daniel Oneal,kyleallen@example.net,+1-252-445-8306x9397,Stanford,BBA,3.7,2025-05-18 05:11:22,168.96.117.90,75,Mobile,5
106,Cheryl Porter,garzawesley@example.com,001-769-281-2675x8525,MIT,BSIT,2.31,2025-05-25 23:55:11,192.18.47.1,48,Desktop,2
107,Christina Reynolds,samuelfinley@example.net,+1-967-777-4980x1330,NED,BSAI,3.52,2025-05-11 05:10:11,194.28.163.136,83,Desktop,5
108,Nicole Scott,flewis@example.org,892-444-8943,IU,BSAI,3.61,2025-05-19 17:28:12,32.109.77.5,72,Desktop,3
109,Luis Taylor,kevin68@example.org,001-969-656-8427x51956,MIT,BSCS,3.8,2025-05-21 18:30:40,107.109.134.202,47,Desktop,1
110,Melanie Wright,christinacastro@example.org,961.523.6170x88431,NED,BSE,2.35,2025-05-15 04:53:22,180.195.54.22,54,Desktop,4
111,Angela Landry,triciaedwards@example.net,608.317.0571x247,Harvard,BSAI,2.84,2025-05-01 20:29:51,186.190.29.13,78,Mobile,1
112,Mrs. Julie Johnson,robert29@example.org,001-404-939-0092x881,MIT,BBA,2.66,2025-05-13 14:23:30,173.158.51.54,50,Desktop,0
113,Courtney Hanson,knightchristopher@example.net,+1-749-705-4330x24281,MIT,BBA,2.55,2025-05-27 14:28:12,153.241.76.148,78,Mobile,1
114,Sheryl Hodges,zbright@example.com,+1-914-272-6539x74126,IU,BSAI,2.92,2025-05-03 10:55:05,163.186.110.1,71,Desktop,5
115,Abigail Schneider,wilsonfrank@example.org,3933957372,MIT,BSAI,2.53,2025-05-21 11:16:28,168.27.125.46,61,Mobile,4
116,Robert Robinson,ufloyd@example.org,+1-542-532-4318x73285,NED,BSAI,2.48,2025-05-26 08:31:03,135.60.239.189,73,Desktop,2
117,Melissa Park,ricky01@example.org,001-952-651-5544x6992,FAST,BSAI,3.32,2025-05-14 03:08:40,150.80.177.194,94,Desktop,3
118,Patrick Gomez,ahall@example.org,+1-679-566-9674x9394,Harvard,BSCS,3.82,2025-05-07 02:20:00,214.30.225.155,83,Mobile,0
119,Ronald Johnson MD,haley36@example.org,861.526.5077x8721,NED,BSIT,2.46,2025-05-09 15:40:59,200.254.163.201,87,Mobile,0
120,Thomas Harris,jonathanlee@example.net,+1-538-912-7767x312,FAST,BSE,2.22,2025-04-28 15:24:39,168.203.182.165,95,Mobile,4
121,Edwin Wilson,zcox@example.org,538-219-9999x011,Stanford,BSAI,3.05,2025-05-11 00:18:29,218.194.188.153,45,Mobile,2
122,Victoria Wade,campbellbrad@example.com,+1-533-301-9397,MIT,BSIT,2.9,2025-05-03 12:59:50,104.240.192.28,95,Mobile,2
123,Amy Caldwell,joshua71@example.net,(810)645-9787x14612,SMIU,BSAI,3.36,2025-05-08 13:22:52,47.37.176.202,60,Mobile,4
124,Chad Banks,david11@example.com,+1-592-714-2718x3949,Stanford,BSIT,3.85,2025-05-15 22:00:27,147.190.105.29,80,Desktop,2
125,Kayla Hampton,silvaangela@example.com,+1-258-754-8955x8480,FAST,BSE,2.37,2025-05-06 03:09:06,111.110.148.129,47,Mobile,2
126,Laura Riley,millschristine@example.com,001-488-645-3175x28624,Harvard,BBA,2.71,2025-05-13 23:57:31,142.152.185.103,88,Mobile,3
127,Tyler Howard,dustin58@example.net,270-286-0811x6862,Harvard,BBA,3.22,2025-05-18 13:00:17,164.205.41.190,89,Desktop,4
128,Rebecca Smith,dawsonbelinda@example.com,344-580-3886x44977,FAST,BSCS,3.09,2025-04-30 20:59:08,152.45.181.200,83,Mobile,2
129,Jamie Silva,jeffreywagner@example.net,933.274.2812x229,NED,BSCS,3.58,2025-05-02 17:44:32,217.118.164.204,80,Desktop,3
130,Faith Patterson,zgomez@example.com,(749)789-2519x29346,SMIU,BSIT,3.71,2025-05-04 23:02:45,140.77.34.172,92,Desktop,4
131,Glenn Sanders,lindabaxter@example.com,001-488-972-4605x9047,NED,BSE,3.82,2025-05-08 11:24:56,114.129.1.207,63,Desktop,0
132,Dr. Jeffrey Spencer,reynoldsvalerie@example.com,(704)813-3714x725,FAST,BSIT,2.38,2025-04-30 01:13:39,210.228.201.203,50,Desktop,1
133,Corey Costa,codonnell@example.org,898.798.5374x3352,SMIU,BBA,2.23,2025-05-25 17:07:42,148.127.102.13,63,Mobile,3
134,Jacob Walters,jcoleman@example.net,(594)236-4793x25663,SMIU,BSCS,3.65,2025-05-23 18:54:42,183.95.1.239,65,Desktop,0
135,Melissa Cannon,youngangela@example.org,001-306-701-1810,Stanford,BSAI,3.61,2025-05-27 02:06:20,206.95.136.182,59,Mobile,1
136,Elizabeth Williams,charleskim@example.org,001-718-755-8312x1105,SMIU,BSIT,2.32,2025-05-01 10:44:19,64.46.36.191,51,Desktop,2
137,Gregory Harper,wmyers@example.net,+1-688-838-7682x97264,Stanford,BSE,3.57,2025-04-29 03:37:48,198.134.17.146,70,Desktop,1
138,Mark Robinson,lindsay38@example.com,384-632-7754x4626,IU,BSCS,2.49,2025-05-03 21:30:48,143.238.181.53,57,Desktop,1
139,Christopher Lee,ayersdonna@example.net,436.799.9675,Stanford,BSE,2.68,2025-05-07 00:10:06,218.22.250.179,60,Desktop,4
140,Frederick Johnston,jeverett@example.net,+1-623-680-5502x53572,FAST,BBA,2.37,2025-05-27 06:57:41,185.36.172.229,98,Mobile,1
141,Catherine Cruz,bgood@example.org,+1-610-986-8142x548,MIT,BSAI,3.4,2025-05-25 19:33:35,129.197.237.244,98,Mobile,2
142,Samantha Smith,vwise@example.org,596.389.6872x0642,Harvard,BSE,2.26,2025-05-03 15:58:53,183.73.23.120,82,Desktop,0
143,Natalie Hartman,jorge35@example.com,233.509.6179x960,MIT,BSE,3.42,2025-05-16 20:19:05,181.176.82.204,57,Desktop,3
144,John Hahn,sandra98@example.org,(256)620-7736x674,Harvard,BBA,2.83,2025-05-02 07:10:06,85.212.230.36,60,Mobile,2
145,Courtney Murray,tbrown@example.net,253.329.4588x8266,FAST,BSCS,2.56,2025-05-15 19:46:13,190.139.113.196,72,Mobile,1
146,Tabitha Hensley,jennifer99@example.net,786.828.4295x7970,MIT,BSAI,2.23,2025-05-03 11:43:46,170.222.204.60,71,Desktop,0
147,Juan Reed,gregory85@example.com,(514)457-3002x616,IU,BSAI,3.6,2025-04-29 14:55:33,195.168.101.226,94,Mobile,1
148,Patricia Jones,jasonwheeler@example.org,001-549-203-4389x750,MIT,BBA,3.49,2025-05-27 05:59:22,8.11.218.13,66,Desktop,2
149,Matthew Anderson,mcannon@example.com,7019492119,SMIU,BSIT,2.79,2025-04-28 21:44:04,203.193.210.163,65,Mobile,5
150,Peter Peterson,catherine22@example.net,(316)560-7884,SMIU,BSE,2.82,2025-05-07 07:14:27,62.143.92.126,49,Mobile,5
151,Joe Case,shawjoseph@example.net,+1-240-644-1323,Stanford,BSCS,2.31,2025-05-06 20:02:02,72.237.25.159,86,Mobile,1
152,Bryce Camacho,heididavis@example.com,+1-977-271-4704x3885,FAST,BSE,2.99,2025-05-03 20:52:27,204.26.52.62,96,Desktop,1
153,Sabrina Pollard,sullivanlisa@example.net,(583)848-5929x5961,IU,BSIT,3.78,2025-05-21 02:52:25,202.204.90.186,62,Mobile,3
154,Brittany Russell,stevenmaynard@example.org,245.705.3369x33401,MIT,BSIT,2.27,2025-05-08 01:51:55,218.29.216.121,74,Mobile,5
155,Matthew Aguilar,courtneyhenderson@example.org,559.856.3976x3888,FAST,BSE,3.84,2025-04-30 19:41:42,151.43.4.244,59,Mobile,3
156,Christopher Heath,thomasalyssa@example.org,001-437-324-7061x5424,SMIU,BSE,3.07,2025-04-28 23:04:11,191.22.9.35,73,Mobile,3
157,Luis May,jensenamy@example.com,+1-940-671-3320x952,NED,BBA,2.73,2025-05-24 06:36:22,204.124.48.221,48,Mobile,1
158,Stephanie Goodwin,hnelson@example.net,+1-622-824-4756,Stanford,BBA,3.28,2025-05-18 12:24:28,154.130.114.48,62,Desktop,0
159,Louis Jefferson,pdouglas@example.org,(585)833-6605x7944,Stanford,BSAI,3.31,2025-05-02 18:46:56,69.90.63.20,55,Mobile,0
160,Samantha Green,jonathanbarajas@example.org,+1-820-247-7769x65650,FAST,BSCS,3.99,2025-05-10 11:21:17,222.62.109.162,57,Mobile,5
161,Mary Smith,amber60@example.org,001-770-256-5812x525,SMIU,BSCS,2.76,2025-05-01 06:05:13,138.76.242.194,88,Desktop,2
162,Kevin Norris,andrew76@example.net,(648)522-9164,NED,BBA,2.3,2025-05-08 13:48:39,208.26.220.212,86,Mobile,0
163,Tina Anderson,sean08@example.org,234.993.0994,Harvard,BSIT,3.45,2025-05-01 08:22:45,202.0.208.131,71,Mobile,1
164,David Lang,vellis@example.net,(805)851-2433,SMIU,BSAI,2.99,2025-05-12 11:17:17,208.179.86.12,96,Desktop,0
165,David Moreno,denisehayes@example.com,+1-865-539-2749,Stanford,BSAI,2.71,2025-05-14 20:38:53,161.158.188.146,42,Desktop,4
166,Nancy Lopez,ttrujillo@example.net,(841)390-8990,NED,BSE,3.17,2025-05-19 00:34:58,165.140.20.42,41,Mobile,1
167,Thomas Gordon,thuang@example.org,+1-562-440-8081,NED,BSAI,3.78,2025-05-06 14:36:42,204.48.147.59,53,Desktop,4
168,Cynthia Gross,williamsjeremy@example.net,001-675-370-8824x015,Stanford,BSIT,2.16,2025-04-30 19:38:44,48.1.246.120,70,Desktop,2
169,Kyle Medina,pricezachary@example.net,001-476-412-9815x859,FAST,BSE,2.04,2025-05-22 07:18:18,204.0.234.10,66,Desktop,1
170,Tiffany Kelly,johnsonshawn@example.net,(711)433-6078,SMIU,BSIT,3.54,2025-05-20 12:46:24,149.23.248.237,57,Desktop,3
171,Carl Trujillo,clarkroger@example.com,(444)883-1560,Harvard,BSAI,2.2,2025-04-29 18:24:20,59.16.233.113,58,Mobile,5
172,Anna Adams,slee@example.com,(356)427-8164x95598,SMIU,BSE,3.03,2025-05-26 19:28:53,80.73.123.83,64,Desktop,2
173,John Fowler,williamssamantha@example.net,+1-321-208-3292,NED,BSAI,2.12,2025-05-02 18:06:28,1.97.202.190,55,Mobile,4
174,Adrian Watson,jennifer78@example.net,+1-741-631-7908x0164,SMIU,BSAI,3.16,2025-05-16 20:23:45,40.122.33.53,69,Desktop,5
175,Dustin Cook,castillojason@example.com,649-959-4488x808,FAST,BSE,2.58,2025-05-07 12:47:32,213.253.184.134,66,Desktop,1
176,Adam Diaz,kroberts@example.net,(548)719-9355,IU,BSE,2.8,2025-05-10 11:36:11,109.144.47.93,60,Mobile,3
177,Suzanne Nguyen,ujoyce@example.com,+1-926-561-6856x2364,Harvard,BBA,2.95,2025-05-15 06:16:23,187.220.31.249,86,Mobile,2
178,Luis Gonzalez,kelsey29@example.org,+1-319-283-8935x505,Harvard,BSAI,2.14,2025-05-20 16:22:03,146.55.154.212,45,Desktop,5
179,Larry Lee,alexis80@example.com,001-355-983-6282x66308,NED,BSAI,3.69,2025-05-25 12:21:16,210.54.206.163,72,Mobile,1
180,Adam Wells,fcochran@example.org,857-578-2474,SMIU,BBA,2.04,2025-05-06 01:55:12,24.139.208.69,82,Desktop,5
181,Gabrielle Oconnor,msmith@example.com,4264984838,Harvard,BSAI,3.62,2025-05-07 17:31:17,84.249.164.243,88,Mobile,2
182,Charles Jones MD,jason71@example.net,+1-702-400-1286x42305,SMIU,BSIT,3.07,2025-04-30 16:09:37,199.247.170.128,58,Desktop,2
183,Melissa Moss,mikaylafischer@example.net,(591)801-7531x3404,NED,BSIT,3.97,2025-05-05 12:51:09,122.154.2.205,97,Desktop,0
184,Bradley Horn,haasanthony@example.org,997-751-6864x832,Stanford,BSIT,3.16,2025-05-05 17:12:58,138.189.76.60,96,Mobile,0
185,Ryan Russell,ashley16@example.net,(529)749-2000x502,MIT,BSCS,3.9,2025-05-14 11:20:56,119.235.196.49,78,Desktop,1
186,Chad Lopez,kellydeleon@example.com,001-621-400-9321x1083,FAST,BSIT,2.84,2025-05-23 13:24:29,53.174.210.121,76,Desktop,5
187,Walter Johnson,wilkinsonjessica@example.org,345-200-5440x2185,Stanford,BSCS,2.17,2025-05-10 00:35:52,154.54.137.36,41,Desktop,0
188,Jason Austin,daniel72@example.org,513-975-7503x54405,SMIU,BSCS,2.88,2025-05-03 13:05:20,79.145.2.178,83,Mobile,3
189,Peggy Jones,emmakelly@example.net,(205)610-9856,IU,BSIT,3.12,2025-05-26 19:50:18,132.255.222.67,69,Desktop,2
190,Stephanie Martin,slopez@example.net,001-847-733-8341,IU,BSE,2.73,2025-05-19 07:51:33,56.124.249.234,61,Desktop,4
